request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,"You requested 15,656,000 IDR, and 15,656,000 IDR is safe to pay, so the affordability status is affordable now. The recommended payment method is full payment, with a payment plan of 15,656,000 IDR on 2025-08-03, the earliest date for full payment, while keeping a minimum balance of 24,768,300 IDR and with no spending changes needed."
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"The requested amount is 6670 ZAR, and 6670 ZAR is safe to pay, so the affordability status is affordable_now. The recommended payment method is full_payment on a 2026-07-05:6670 payment plan, with no spending changes needed, a minimum balance to keep of 20500 ZAR, and an earliest date for full payment of 2026-07-05."
request_28,659.40,affordable_later,wait,2024-06-09:1302.40,2024-06-09,none,"The requested amount is 1302.40 EUR, while the amount safe to pay is 659.40 EUR; the affordability status is affordable_later, the recommended payment method is wait, and the payment plan is 2024-06-09:1302.40. The minimum balance to keep is 1100 EUR, no spending changes are needed, and the earliest date for full payment is 2024-06-09."
request_29,51524,affordable_now,full_payment,2025-11-04:51524,2025-11-04,none,"The requested amount is 51524 ZAR, and 51524 ZAR is safe to pay, so the affordability status is affordable now. The recommended payment method is full payment, with the payment plan being 51524 ZAR on 2025-11-04, which is also the earliest date for full payment; you should keep a minimum balance of 28300 ZAR, and no spending changes are needed."
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Your requested amount of 775.20 USD is safe to pay at 775.20 USD and is affordable with a plan, so installments are recommended: 268.74 USD on 2026-04-06, 268.74 USD on 2026-05-06, and 268.74 USD on 2026-06-05, while keeping a minimum balance of 900 USD; no spending changes are needed, and the earliest date for full payment is 2026-04-06."
request_31,2568593.04,affordable_later,wait,2024-11-19:18164000,2024-11-19,none,"Your requested amount is 18,164,000 IDR, while 2,568,593.04 IDR is safe to pay, the affordability status is affordable later, and the recommended payment method is wait; the payment plan and earliest date for full payment are both 2024-11-19 for 18,164,000 IDR, with no spending changes needed and a minimum balance to keep of 16,588,900 IDR."
request_32,0,not_affordable,not_recommended,none,,none,"A request for 40018 ZAR is not affordable, with 0 ZAR safe to pay, the recommended payment method is not recommended, and there is no payment plan. The minimum balance to keep is 35700 ZAR, and no spending changes are needed."
request_33,43637.32,affordable_later,wait,2026-03-17:118000,2026-03-17,none,"You requested 118000 INR, but only 43637.32 INR is currently safe to pay, so the status is affordable_later and the recommended payment method is to wait. A payment plan of 118000 INR on 2026-03-17 matches the earliest date for full payment, with no spending changes needed and a minimum balance to keep of 102100 INR."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"The requested amount is 129400 INR, and the amount safe to pay is 129400 INR, so the affordability status is affordable_now. The recommended payment method is full_payment, with a payment plan of 2024-12-04:129400, a minimum balance to keep of 138500 INR, no spending changes needed, and the earliest date for full payment is 2024-12-04."
request_35,21248.14,affordable_later,wait,2026-01-21:212000,2026-01-21,none,"The requested amount is 212000 INR, but only 21248.14 INR is safe to pay now, so the affordability status is affordable_later and the recommended payment method is wait. The payment plan is 212000 INR on 2026-01-21, which is also the earliest date for full payment, with a minimum balance to keep of 106400 INR and no spending changes needed."
request_36,615.13,not_affordable,not_recommended,none,,none,"The requested amount is 3954 USD, but only 615.13 USD is safe to pay, so the affordability status is not_affordable and the recommended payment method is not_recommended; there is no payment plan, a minimum balance of 2400 USD must be kept, and no spending changes are needed."
request_37,12068800,affordable_later,wait,2024-03-08:14649000,2024-03-08,none,"The requested amount is 14,649,000 IDR and the amount safe to pay is 12,068,800 IDR, so the affordability status is affordable later and the recommended payment method is wait. The payment plan is 14,649,000 IDR on 2024-03-08, which is also the earliest date for full payment; the minimum balance to keep is 17,056,200 IDR, and no spending changes are needed."
request_38,236.98,affordable_later,wait,2025-10-20:971.30,2025-10-20,none,"The requested amount is 971.30 EUR, while the amount safe to pay is 236.98 EUR; the affordability status is affordable_later, so the recommended payment method is wait. The payment plan is 2025-10-20:971.30, the minimum balance to keep is 400 EUR, spending changes needed are none, and the earliest date for full payment is 2025-10-20."
request_39,122251.85,affordable_later,wait,2026-06-17:208600,2026-06-17,none,"The requested amount is 208,600 INR, but only 122,251.85 INR is safe to pay, so the affordability status is affordable later and the recommended payment method is to wait. The payment plan is 208,600 INR on 2026-06-17, which is also the earliest date for full payment, while the minimum balance to keep is 213,400 INR and no spending changes are needed."
request_40,0,not_affordable,not_recommended,none,,none,"The requested amount is 1290.30 EUR, but the amount safe to pay is 0 EUR, so the affordability status is not_affordable and the recommended payment method is not_recommended. The payment plan is none, the minimum balance to keep is 1500 EUR, and the spending changes needed are none."
request_41,10114398.12,affordable_later,wait,2026-01-19:38760000,2026-01-19,none,requested_amount=38760000 IDR; amount_safe_to_pay=10114398.12 IDR; affordability_status=affordable_later; recommended_payment_method=wait; payment_plan=2026-01-19:38760000; minimum_balance_to_keep=25366600 IDR; spending_changes_needed=none; earliest_date_for_full_payment=2026-01-19.
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"The requested amount is 52100 INR, and 52100 INR is safe to pay, so the affordability status is affordable now. The recommended payment method is full_payment, with a payment plan on 2026-01-05 for 52100 INR, while keeping a minimum balance of 113100 INR; spending changes needed are none, and the earliest date for full payment is 2026-01-05."
request_43,9868266.98,affordable_later,wait,2024-11-20:43339000,2024-11-20,none,"The requested amount is 43,339,000 IDR, but only 9,868,266.98 IDR is safe to pay, so the affordability status is affordable_later and the recommended payment method is to wait. A payment plan of 43,339,000 IDR on 2024-11-20 is possible, which is also the earliest date for full payment, while keeping a minimum balance of 21,398,000 IDR and needing no spending changes."
request_44,0,not_affordable,not_recommended,none,,none,"The requested amount is 95,800 INR, but the amount safe to pay is 0 INR, so the affordability status is not affordable. The recommended payment method is not recommended, the payment plan is none, the minimum balance to keep is 82,900 INR, and no spending changes are needed."
request_45,3614476.62,not_affordable,not_recommended,none,,none,"The requested amount is 21983000 IDR, but only 3614476.62 IDR is safe to pay, so the affordability status is not_affordable; the recommended payment method is not_recommended and the payment plan is none. The minimum balance to keep is 11149800 IDR, and no spending changes are needed."
request_46,36858.40,affordable_with_plan,partial_payment,2024-12-03:36858.40|2024-12-16:12591.60,2024-12-16,none,"You requested 49450 INR; it is affordable_with_plan via partial_payment, with 36858.40 INR safe to pay on 2024-12-03 and 12591.60 INR on 2024-12-16, while keeping a minimum balance of 84000 INR; no spending changes are needed, and the earliest date for full payment is 2024-12-16."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"The requested amount is 38114000 IDR, and 38114000 IDR is safe to pay, so the affordability status is affordable_now. The recommended payment method is full_payment, with a payment plan of 38114000 IDR on 2025-05-05, which is also the earliest date for full payment; a minimum balance of 30049000 IDR should be kept, and no spending changes are needed."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"The requested amount is 45700 INR, and 45700 INR is safe to pay, with an affordability status of affordable now; full payment is recommended, with a payment plan on 2026-07-25 for 45700 INR and an earliest date for full payment of 2026-07-25, while no spending changes are needed and a minimum balance of 71300 INR should be kept."
request_49,10314482.69,not_affordable,not_recommended,none,2024-05-19,none,requested_amount=34333000 IDR; amount_safe_to_pay=10314482.69 IDR; affordability_status=not_affordable; recommended_payment_method=not_recommended; payment_plan=none; minimum_balance_to_keep=20275700 IDR; spending_changes_needed=none; earliest_date_for_full_payment=2024-05-19.
